ID	Type	Description	DataCoding
23237	Continuous	Total BMD (bone mineral density) (left)
23238	Continuous	Total BMD (bone mineral density) (right)
23239	Continuous	Total BMD (bone mineral density) T-score
23240	Continuous	Trunk BMC (bone mineral content)
23241	Continuous	Trunk BMD (bone mineral density)
23242	Continuous	Trunk BMD (bone mineral density) (left)
23243	Continuous	Trunk BMD (bone mineral density) (right)
23244	Integer	Android bone mass
23245	Integer	Android fat mass
23246	Integer	Android lean mass
23247	Continuous	Android tissue fat percentage
23248	Continuous	Android total mass
23249	Integer	Arm fat mass (left)
23250	Integer	Arm lean mass (left)
23251	Continuous	Arm tissue fat percentage (left)
23252	Continuous	Arm total mass (left)
23253	Integer	Arm fat mass (right)
23254	Integer	Arm lean mass (right)
23255	Continuous	Arm tissue fat percentage (right)
23256	Continuous	Arm total mass (right)
23257	Integer	Arms fat mass
23258	Integer	Arms lean mass
23259	Continuous	Arms tissue fat percentage
23260	Continuous	Arms total mass
23261	Integer	Gynoid bone mass
23262	Integer	Gynoid fat mass
23263	Integer	Gynoid lean mass
23264	Continuous	Gynoid tissue fat percentage
23265	Continuous	Gynoid total mass
23266	Integer	Leg fat mass (left)
23267	Integer	Leg lean mass (left)
23268	Continuous	Leg tissue fat percentage (left)
23269	Continuous	Leg total mass (left)
23270	Integer	Leg fat mass (right)
23271	Integer	Leg lean mass (right)
23272	Continuous	Leg tissue fat percentage (right)
23273	Continuous	Leg total mass (right)
23274	Integer	Legs fat mass
23275	Integer	Legs lean mass
23276	Continuous	Legs tissue fat percentage
23277	Continuous	Legs total mass
23278	Integer	Total fat mass
23279	Integer	Total fat-free mass
23280	Integer	Total lean mass
23281	Continuous	Total tissue fat percentage
23282	Integer	Total tissue mass
23283	Continuous	Total mass
23284	Integer	Trunk fat mass
23285	Integer	Trunk lean mass
23286	Continuous	Trunk tissue fat percentage
23287	Continuous	Trunk total mass
23288	Integer	VAT (visceral adipose tissue) mass
23289	Integer	VAT (visceral adipose tissue) volume
23290	Continuous	Femur shaft BMD (bone mineral density) (left)
23291	Continuous	Femur total BMD (bone mineral density) (left)
23292	Continuous	Femur upper neck BMD (bone mineral density) (left)
23293	Continuous	Femur total BMD (bone mineral density) T-score (left)
23295	Continuous	Femur troch BMD (bone mineral density) (left)
23296	Continuous	Femur upper neck BMD (bone mineral density) T-score (left)
23297	Continuous	Femur wards BMD (bone mineral density) (left)
23298	Continuous	Femur troch BMD (bone mineral density) T-score (left)
23299	Continuous	Femur neck BMD (bone mineral density) (left)
23300	Continuous	Femur neck BMD (bone mineral density) T-score (left)
23301	Continuous	Femur wards BMD (bone mineral density) T-score (left)
23302	Continuous	Femur lower neck BMD (bone mineral density) (left)
23304	Continuous	Trunk bone area
23305	Continuous	Head bone area
23306	Continuous	Head BMC (bone mineral content)
23307	Continuous	Pelvis bone area
23308	Continuous	Pelvis BMC (bone mineral content)
23309	Continuous	Ribs bone area
23310	Continuous	Ribs BMC (bone mineral content)
23311	Continuous	Spine bone area
23312	Continuous	Spine BMC (bone mineral content)
23313	Continuous	Arm bone area (left)
23314	Continuous	Arm bone area (right)
23315	Continuous	Leg bone area (left)
23316	Continuous	Leg bone area (right)
23317	Continuous	Arms combined bone area
23318	Continuous	Legs combined bone area
23320	Continuous	Leg BMC (bone mineral content) (left)
25000	Continuous	Volumetric scaling from T1 head image to standard space
25001	Continuous	Volume of peripheral cortical grey matter (normalised for head size)
25002	Continuous	Volume of peripheral cortical grey matter
25003	Continuous	Volume of ventricular cerebrospinal fluid (normalised for head size)
25004	Continuous	Volume of ventricular cerebrospinal fluid
25005	Continuous	Volume of grey matter (normalised for head size)
25006	Continuous	Volume of grey matter
25007	Continuous	Volume of white matter (normalised for head size)
25008	Continuous	Volume of white matter
25009	Continuous	Volume of brain, grey+white matter (normalised for head size)
25010	Continuous	Volume of brain, grey+white matter
25011	Continuous	Volume of thalamus (left)
25012	Continuous	Volume of thalamus (right)
25013	Continuous	Volume of caudate (left)
25014	Continuous	Volume of caudate (right)
25015	Continuous	Volume of putamen (left)
25016	Continuous	Volume of putamen (right)
25017	Continuous	Volume of pallidum (left)
25018	Continuous	Volume of pallidum (right)
25019	Continuous	Volume of hippocampus (left)
25020	Continuous	Volume of hippocampus (right)
25021	Continuous	Volume of amygdala (left)
25022	Continuous	Volume of amygdala (right)
25023	Continuous	Volume of accumbens (left)
25024	Continuous	Volume of accumbens (right)
25025	Continuous	Volume of brain stem + 4th ventricle
25026	Continuous	Median T2star in thalamus (left)
25027	Continuous	Median T2star in thalamus (right)
25028	Continuous	Median T2star in caudate (left)
25029	Continuous	Median T2star in caudate (right)
25030	Continuous	Median T2star in putamen (left)
25031	Continuous	Median T2star in putamen (right)
25032	Continuous	Median T2star in pallidum (left)
25033	Continuous	Median T2star in pallidum (right)
25034	Continuous	Median T2star in hippocampus (left)
25035	Continuous	Median T2star in hippocampus (right)
25036	Continuous	Median T2star in amygdala (left)
25037	Continuous	Median T2star in amygdala (right)
25038	Continuous	Median T2star in accumbens (left)
25039	Continuous	Median T2star in accumbens (right)
25040	Continuous	Median BOLD effect (in group-defined mask) for shapes activation
25042	Continuous	Median z-statistic (in group-defined mask) for shapes activation
25044	Continuous	Median BOLD effect (in group-defined mask) for faces activation
25046	Continuous	Median z-statistic (in group-defined mask) for faces activation
25048	Continuous	Median BOLD effect (in group-defined mask) for faces-shapes contrast
25050	Continuous	Median z-statistic (in group-defined mask) for faces-shapes contrast
25052	Continuous	Median BOLD effect (in group-defined amygdala activation mask) for faces-shapes contrast
25054	Continuous	Median z-statistic (in group-defined amygdala activation mask) for faces-shapes contrast
25056	Continuous	Mean FA in middle cerebellar peduncle on FA skeleton
25057	Continuous	Mean FA in pontine crossing tract on FA skeleton
25058	Continuous	Mean FA in genu of corpus callosum on FA skeleton
25059	Continuous	Mean FA in body of corpus callosum on FA skeleton
25060	Continuous	Mean FA in splenium of corpus callosum on FA skeleton
25061	Continuous	Mean FA in fornix on FA skeleton
25062	Continuous	Mean FA in corticospinal tract on FA skeleton (right)
25063	Continuous	Mean FA in corticospinal tract on FA skeleton (left)
25064	Continuous	Mean FA in medial lemniscus on FA skeleton (right)
25065	Continuous	Mean FA in medial lemniscus on FA skeleton (left)
25066	Continuous	Mean FA in inferior cerebellar peduncle on FA skeleton (right)
25067	Continuous	Mean FA in inferior cerebellar peduncle on FA skeleton (left)
25068	Continuous	Mean FA in superior cerebellar peduncle on FA skeleton (right)
25069	Continuous	Mean FA in superior cerebellar peduncle on FA skeleton (left)
25070	Continuous	Mean FA in cerebral peduncle on FA skeleton (right)
25071	Continuous	Mean FA in cerebral peduncle on FA skeleton (left)
25072	Continuous	Mean FA in anterior limb of internal capsule on FA skeleton (right)
25073	Continuous	Mean FA in anterior limb of internal capsule on FA skeleton (left)
25074	Continuous	Mean FA in posterior limb of internal capsule on FA skeleton (right)
25075	Continuous	Mean FA in posterior limb of internal capsule on FA skeleton (left)
25076	Continuous	Mean FA in retrolenticular part of internal capsule on FA skeleton (right)
25077	Continuous	Mean FA in retrolenticular part of internal capsule on FA skeleton (left)
25078	Continuous	Mean FA in anterior corona radiata on FA skeleton (right)
25079	Continuous	Mean FA in anterior corona radiata on FA skeleton (left)
25080	Continuous	Mean FA in superior corona radiata on FA skeleton (right)
25081	Continuous	Mean FA in superior corona radiata on FA skeleton (left)
25082	Continuous	Mean FA in posterior corona radiata on FA skeleton (right)
25083	Continuous	Mean FA in posterior corona radiata on FA skeleton (left)
25084	Continuous	Mean FA in posterior thalamic radiation on FA skeleton (right)
25085	Continuous	Mean FA in posterior thalamic radiation on FA skeleton (left)
25086	Continuous	Mean FA in sagittal stratum on FA skeleton (right)
25087	Continuous	Mean FA in sagittal stratum on FA skeleton (left)
25088	Continuous	Mean FA in external capsule on FA skeleton (right)
25089	Continuous	Mean FA in external capsule on FA skeleton (left)
25090	Continuous	Mean FA in cingulum cingulate gyrus on FA skeleton (right)
25091	Continuous	Mean FA in cingulum cingulate gyrus on FA skeleton (left)
25092	Continuous	Mean FA in cingulum hippocampus on FA skeleton (right)
25093	Continuous	Mean FA in cingulum hippocampus on FA skeleton (left)
25094	Continuous	Mean FA in fornix cres+stria terminalis on FA skeleton (right)
25095	Continuous	Mean FA in fornix cres+stria terminalis on FA skeleton (left)
25096	Continuous	Mean FA in superior longitudinal fasciculus on FA skeleton (right)
25097	Continuous	Mean FA in superior longitudinal fasciculus on FA skeleton (left)
25098	Continuous	Mean FA in superior fronto-occipital fasciculus on FA skeleton (right)
25099	Continuous	Mean FA in superior fronto-occipital fasciculus on FA skeleton (left)
25100	Continuous	Mean FA in uncinate fasciculus on FA skeleton (right)
25101	Continuous	Mean FA in uncinate fasciculus on FA skeleton (left)
25102	Continuous	Mean FA in tapetum on FA skeleton (right)
25103	Continuous	Mean FA in tapetum on FA skeleton (left)
25104	Continuous	Mean MD in middle cerebellar peduncle on FA skeleton
25105	Continuous	Mean MD in pontine crossing tract on FA skeleton
25106	Continuous	Mean MD in genu of corpus callosum on FA skeleton
25107	Continuous	Mean MD in body of corpus callosum on FA skeleton
25108	Continuous	Mean MD in splenium of corpus callosum on FA skeleton
25109	Continuous	Mean MD in fornix on FA skeleton
25110	Continuous	Mean MD in corticospinal tract on FA skeleton (right)
25111	Continuous	Mean MD in corticospinal tract on FA skeleton (left)
25112	Continuous	Mean MD in medial lemniscus on FA skeleton (right)
25113	Continuous	Mean MD in medial lemniscus on FA skeleton (left)
25114	Continuous	Mean MD in inferior cerebellar peduncle on FA skeleton (right)
25115	Continuous	Mean MD in inferior cerebellar peduncle on FA skeleton (left)
25116	Continuous	Mean MD in superior cerebellar peduncle on FA skeleton (right)
25117	Continuous	Mean MD in superior cerebellar peduncle on FA skeleton (left)
25118	Continuous	Mean MD in cerebral peduncle on FA skeleton (right)
25119	Continuous	Mean MD in cerebral peduncle on FA skeleton (left)
25120	Continuous	Mean MD in anterior limb of internal capsule on FA skeleton (right)
25121	Continuous	Mean MD in anterior limb of internal capsule on FA skeleton (left)
25122	Continuous	Mean MD in posterior limb of internal capsule on FA skeleton (right)
25123	Continuous	Mean MD in posterior limb of internal capsule on FA skeleton (left)
25124	Continuous	Mean MD in retrolenticular part of internal capsule on FA skeleton (right)
25125	Continuous	Mean MD in retrolenticular part of internal capsule on FA skeleton (left)
25126	Continuous	Mean MD in anterior corona radiata on FA skeleton (right)
25127	Continuous	Mean MD in anterior corona radiata on FA skeleton (left)
25128	Continuous	Mean MD in superior corona radiata on FA skeleton (right)
25129	Continuous	Mean MD in superior corona radiata on FA skeleton (left)
25130	Continuous	Mean MD in posterior corona radiata on FA skeleton (right)
25131	Continuous	Mean MD in posterior corona radiata on FA skeleton (left)
25132	Continuous	Mean MD in posterior thalamic radiation on FA skeleton (right)
25133	Continuous	Mean MD in posterior thalamic radiation on FA skeleton (left)
25134	Continuous	Mean MD in sagittal stratum on FA skeleton (right)
25135	Continuous	Mean MD in sagittal stratum on FA skeleton (left)
25136	Continuous	Mean MD in external capsule on FA skeleton (right)
25137	Continuous	Mean MD in external capsule on FA skeleton (left)
25138	Continuous	Mean MD in cingulum cingulate gyrus on FA skeleton (right)
25139	Continuous	Mean MD in cingulum cingulate gyrus on FA skeleton (left)
25140	Continuous	Mean MD in cingulum hippocampus on FA skeleton (right)
25141	Continuous	Mean MD in cingulum hippocampus on FA skeleton (left)
25142	Continuous	Mean MD in fornix cres+stria terminalis on FA skeleton (right)
25143	Continuous	Mean MD in fornix cres+stria terminalis on FA skeleton (left)
25144	Continuous	Mean MD in superior longitudinal fasciculus on FA skeleton (right)
25145	Continuous	Mean MD in superior longitudinal fasciculus on FA skeleton (left)
25146	Continuous	Mean MD in superior fronto-occipital fasciculus on FA skeleton (right)
25147	Continuous	Mean MD in superior fronto-occipital fasciculus on FA skeleton (left)
25148	Continuous	Mean MD in uncinate fasciculus on FA skeleton (right)
25149	Continuous	Mean MD in uncinate fasciculus on FA skeleton (left)
25150	Continuous	Mean MD in tapetum on FA skeleton (right)
25151	Continuous	Mean MD in tapetum on FA skeleton (left)
25152	Continuous	Mean MO in middle cerebellar peduncle on FA skeleton
25153	Continuous	Mean MO in pontine crossing tract on FA skeleton
25154	Continuous	Mean MO in genu of corpus callosum on FA skeleton
25155	Continuous	Mean MO in body of corpus callosum on FA skeleton
25156	Continuous	Mean MO in splenium of corpus callosum on FA skeleton
25157	Continuous	Mean MO in fornix on FA skeleton
25158	Continuous	Mean MO in corticospinal tract on FA skeleton (right)
25159	Continuous	Mean MO in corticospinal tract on FA skeleton (left)
25160	Continuous	Mean MO in medial lemniscus on FA skeleton (right)
25161	Continuous	Mean MO in medial lemniscus on FA skeleton (left)
25162	Continuous	Mean MO in inferior cerebellar peduncle on FA skeleton (right)
25163	Continuous	Mean MO in inferior cerebellar peduncle on FA skeleton (left)
25164	Continuous	Mean MO in superior cerebellar peduncle on FA skeleton (right)
25165	Continuous	Mean MO in superior cerebellar peduncle on FA skeleton (left)
25166	Continuous	Mean MO in cerebral peduncle on FA skeleton (right)
25167	Continuous	Mean MO in cerebral peduncle on FA skeleton (left)
25168	Continuous	Mean MO in anterior limb of internal capsule on FA skeleton (right)
25169	Continuous	Mean MO in anterior limb of internal capsule on FA skeleton (left)
25170	Continuous	Mean MO in posterior limb of internal capsule on FA skeleton (right)
25171	Continuous	Mean MO in posterior limb of internal capsule on FA skeleton (left)
25172	Continuous	Mean MO in retrolenticular part of internal capsule on FA skeleton (right)
25173	Continuous	Mean MO in retrolenticular part of internal capsule on FA skeleton (left)
25174	Continuous	Mean MO in anterior corona radiata on FA skeleton (right)
25175	Continuous	Mean MO in anterior corona radiata on FA skeleton (left)
25176	Continuous	Mean MO in superior corona radiata on FA skeleton (right)
25177	Continuous	Mean MO in superior corona radiata on FA skeleton (left)
25178	Continuous	Mean MO in posterior corona radiata on FA skeleton (right)
25179	Continuous	Mean MO in posterior corona radiata on FA skeleton (left)
25180	Continuous	Mean MO in posterior thalamic radiation on FA skeleton (right)
25181	Continuous	Mean MO in posterior thalamic radiation on FA skeleton (left)
25182	Continuous	Mean MO in sagittal stratum on FA skeleton (right)
25183	Continuous	Mean MO in sagittal stratum on FA skeleton (left)
25184	Continuous	Mean MO in external capsule on FA skeleton (right)
25185	Continuous	Mean MO in external capsule on FA skeleton (left)
25186	Continuous	Mean MO in cingulum cingulate gyrus on FA skeleton (right)
25187	Continuous	Mean MO in cingulum cingulate gyrus on FA skeleton (left)
25188	Continuous	Mean MO in cingulum hippocampus on FA skeleton (right)
25189	Continuous	Mean MO in cingulum hippocampus on FA skeleton (left)
25190	Continuous	Mean MO in fornix cres+stria terminalis on FA skeleton (right)
25191	Continuous	Mean MO in fornix cres+stria terminalis on FA skeleton (left)
25192	Continuous	Mean MO in superior longitudinal fasciculus on FA skeleton (right)
25193	Continuous	Mean MO in superior longitudinal fasciculus on FA skeleton (left)
25194	Continuous	Mean MO in superior fronto-occipital fasciculus on FA skeleton (right)
25195	Continuous	Mean MO in superior fronto-occipital fasciculus on FA skeleton (left)
25196	Continuous	Mean MO in uncinate fasciculus on FA skeleton (right)
25197	Continuous	Mean MO in uncinate fasciculus on FA skeleton (left)
25198	Continuous	Mean MO in tapetum on FA skeleton (right)
25199	Continuous	Mean MO in tapetum on FA skeleton (left)
25200	Continuous	Mean L1 in middle cerebellar peduncle on FA skeleton
25201	Continuous	Mean L1 in pontine crossing tract on FA skeleton
25202	Continuous	Mean L1 in genu of corpus callosum on FA skeleton
25203	Continuous	Mean L1 in body of corpus callosum on FA skeleton
25204	Continuous	Mean L1 in splenium of corpus callosum on FA skeleton
25205	Continuous	Mean L1 in fornix on FA skeleton
25206	Continuous	Mean L1 in corticospinal tract on FA skeleton (right)
25207	Continuous	Mean L1 in corticospinal tract on FA skeleton (left)
25208	Continuous	Mean L1 in medial lemniscus on FA skeleton (right)
25209	Continuous	Mean L1 in medial lemniscus on FA skeleton (left)
25210	Continuous	Mean L1 in inferior cerebellar peduncle on FA skeleton (right)
25211	Continuous	Mean L1 in inferior cerebellar peduncle on FA skeleton (left)
25212	Continuous	Mean L1 in superior cerebellar peduncle on FA skeleton (right)
25213	Continuous	Mean L1 in superior cerebellar peduncle on FA skeleton (left)
25214	Continuous	Mean L1 in cerebral peduncle on FA skeleton (right)
25215	Continuous	Mean L1 in cerebral peduncle on FA skeleton (left)
25216	Continuous	Mean L1 in anterior limb of internal capsule on FA skeleton (right)
25217	Continuous	Mean L1 in anterior limb of internal capsule on FA skeleton (left)
25218	Continuous	Mean L1 in posterior limb of internal capsule on FA skeleton (right)
25219	Continuous	Mean L1 in posterior limb of internal capsule on FA skeleton (left)
25220	Continuous	Mean L1 in retrolenticular part of internal capsule on FA skeleton (right)
25221	Continuous	Mean L1 in retrolenticular part of internal capsule on FA skeleton (left)
25222	Continuous	Mean L1 in anterior corona radiata on FA skeleton (right)
25223	Continuous	Mean L1 in anterior corona radiata on FA skeleton (left)
25224	Continuous	Mean L1 in superior corona radiata on FA skeleton (right)
25225	Continuous	Mean L1 in superior corona radiata on FA skeleton (left)
25226	Continuous	Mean L1 in posterior corona radiata on FA skeleton (right)
25227	Continuous	Mean L1 in posterior corona radiata on FA skeleton (left)
25228	Continuous	Mean L1 in posterior thalamic radiation on FA skeleton (right)
25229	Continuous	Mean L1 in posterior thalamic radiation on FA skeleton (left)
25230	Continuous	Mean L1 in sagittal stratum on FA skeleton (right)
25231	Continuous	Mean L1 in sagittal stratum on FA skeleton (left)
25232	Continuous	Mean L1 in external capsule on FA skeleton (right)
25233	Continuous	Mean L1 in external capsule on FA skeleton (left)
25234	Continuous	Mean L1 in cingulum cingulate gyrus on FA skeleton (right)
25235	Continuous	Mean L1 in cingulum cingulate gyrus on FA skeleton (left)
25236	Continuous	Mean L1 in cingulum hippocampus on FA skeleton (right)
25237	Continuous	Mean L1 in cingulum hippocampus on FA skeleton (left)
25238	Continuous	Mean L1 in fornix cres+stria terminalis on FA skeleton (right)
25239	Continuous	Mean L1 in fornix cres+stria terminalis on FA skeleton (left)
25240	Continuous	Mean L1 in superior longitudinal fasciculus on FA skeleton (right)
25241	Continuous	Mean L1 in superior longitudinal fasciculus on FA skeleton (left)
25242	Continuous	Mean L1 in superior fronto-occipital fasciculus on FA skeleton (right)
25243	Continuous	Mean L1 in superior fronto-occipital fasciculus on FA skeleton (left)
25244	Continuous	Mean L1 in uncinate fasciculus on FA skeleton (right)
25245	Continuous	Mean L1 in uncinate fasciculus on FA skeleton (left)
25246	Continuous	Mean L1 in tapetum on FA skeleton (right)
25247	Continuous	Mean L1 in tapetum on FA skeleton (left)
25248	Continuous	Mean L2 in middle cerebellar peduncle on FA skeleton
25249	Continuous	Mean L2 in pontine crossing tract on FA skeleton
25250	Continuous	Mean L2 in genu of corpus callosum on FA skeleton
25251	Continuous	Mean L2 in body of corpus callosum on FA skeleton
25252	Continuous	Mean L2 in splenium of corpus callosum on FA skeleton
25253	Continuous	Mean L2 in fornix on FA skeleton
25254	Continuous	Mean L2 in corticospinal tract on FA skeleton (right)
25255	Continuous	Mean L2 in corticospinal tract on FA skeleton (left)
25256	Continuous	Mean L2 in medial lemniscus on FA skeleton (right)
25257	Continuous	Mean L2 in medial lemniscus on FA skeleton (left)
25258	Continuous	Mean L2 in inferior cerebellar peduncle on FA skeleton (right)
25259	Continuous	Mean L2 in inferior cerebellar peduncle on FA skeleton (left)
25260	Continuous	Mean L2 in superior cerebellar peduncle on FA skeleton (right)
25261	Continuous	Mean L2 in superior cerebellar peduncle on FA skeleton (left)
25262	Continuous	Mean L2 in cerebral peduncle on FA skeleton (right)
25263	Continuous	Mean L2 in cerebral peduncle on FA skeleton (left)
25264	Continuous	Mean L2 in anterior limb of internal capsule on FA skeleton (right)
25265	Continuous	Mean L2 in anterior limb of internal capsule on FA skeleton (left)
25266	Continuous	Mean L2 in posterior limb of internal capsule on FA skeleton (right)
25267	Continuous	Mean L2 in posterior limb of internal capsule on FA skeleton (left)
25268	Continuous	Mean L2 in retrolenticular part of internal capsule on FA skeleton (right)
25269	Continuous	Mean L2 in retrolenticular part of internal capsule on FA skeleton (left)
25270	Continuous	Mean L2 in anterior corona radiata on FA skeleton (right)
25271	Continuous	Mean L2 in anterior corona radiata on FA skeleton (left)
25272	Continuous	Mean L2 in superior corona radiata on FA skeleton (right)
25273	Continuous	Mean L2 in superior corona radiata on FA skeleton (left)
25274	Continuous	Mean L2 in posterior corona radiata on FA skeleton (right)
25275	Continuous	Mean L2 in posterior corona radiata on FA skeleton (left)
25276	Continuous	Mean L2 in posterior thalamic radiation on FA skeleton (right)
25277	Continuous	Mean L2 in posterior thalamic radiation on FA skeleton (left)
25278	Continuous	Mean L2 in sagittal stratum on FA skeleton (right)
25279	Continuous	Mean L2 in sagittal stratum on FA skeleton (left)
25280	Continuous	Mean L2 in external capsule on FA skeleton (right)
25281	Continuous	Mean L2 in external capsule on FA skeleton (left)
25282	Continuous	Mean L2 in cingulum cingulate gyrus on FA skeleton (right)
25283	Continuous	Mean L2 in cingulum cingulate gyrus on FA skeleton (left)
25284	Continuous	Mean L2 in cingulum hippocampus on FA skeleton (right)
25285	Continuous	Mean L2 in cingulum hippocampus on FA skeleton (left)
25286	Continuous	Mean L2 in fornix cres+stria terminalis on FA skeleton (right)
25287	Continuous	Mean L2 in fornix cres+stria terminalis on FA skeleton (left)
25288	Continuous	Mean L2 in superior longitudinal fasciculus on FA skeleton (right)
25289	Continuous	Mean L2 in superior longitudinal fasciculus on FA skeleton (left)
25290	Continuous	Mean L2 in superior fronto-occipital fasciculus on FA skeleton (right)
25291	Continuous	Mean L2 in superior fronto-occipital fasciculus on FA skeleton (left)
25292	Continuous	Mean L2 in uncinate fasciculus on FA skeleton (right)
25293	Continuous	Mean L2 in uncinate fasciculus on FA skeleton (left)
25294	Continuous	Mean L2 in tapetum on FA skeleton (right)
25295	Continuous	Mean L2 in tapetum on FA skeleton (left)
25296	Continuous	Mean L3 in middle cerebellar peduncle on FA skeleton
25297	Continuous	Mean L3 in pontine crossing tract on FA skeleton
25298	Continuous	Mean L3 in genu of corpus callosum on FA skeleton
25299	Continuous	Mean L3 in body of corpus callosum on FA skeleton
25300	Continuous	Mean L3 in splenium of corpus callosum on FA skeleton
25301	Continuous	Mean L3 in fornix on FA skeleton
25302	Continuous	Mean L3 in corticospinal tract on FA skeleton (right)
25303	Continuous	Mean L3 in corticospinal tract on FA skeleton (left)
25304	Continuous	Mean L3 in medial lemniscus on FA skeleton (right)
25305	Continuous	Mean L3 in medial lemniscus on FA skeleton (left)
25306	Continuous	Mean L3 in inferior cerebellar peduncle on FA skeleton (right)
25307	Continuous	Mean L3 in inferior cerebellar peduncle on FA skeleton (left)
25308	Continuous	Mean L3 in superior cerebellar peduncle on FA skeleton (right)
25309	Continuous	Mean L3 in superior cerebellar peduncle on FA skeleton (left)
25310	Continuous	Mean L3 in cerebral peduncle on FA skeleton (right)
25311	Continuous	Mean L3 in cerebral peduncle on FA skeleton (left)
25312	Continuous	Mean L3 in anterior limb of internal capsule on FA skeleton (right)
25313	Continuous	Mean L3 in anterior limb of internal capsule on FA skeleton (left)
25314	Continuous	Mean L3 in posterior limb of internal capsule on FA skeleton (right)
25315	Continuous	Mean L3 in posterior limb of internal capsule on FA skeleton (left)
25316	Continuous	Mean L3 in retrolenticular part of internal capsule on FA skeleton (right)
25317	Continuous	Mean L3 in retrolenticular part of internal capsule on FA skeleton (left)
25318	Continuous	Mean L3 in anterior corona radiata on FA skeleton (right)
25319	Continuous	Mean L3 in anterior corona radiata on FA skeleton (left)
25320	Continuous	Mean L3 in superior corona radiata on FA skeleton (right)
25321	Continuous	Mean L3 in superior corona radiata on FA skeleton (left)
25322	Continuous	Mean L3 in posterior corona radiata on FA skeleton (right)
25323	Continuous	Mean L3 in posterior corona radiata on FA skeleton (left)
25324	Continuous	Mean L3 in posterior thalamic radiation on FA skeleton (right)
25325	Continuous	Mean L3 in posterior thalamic radiation on FA skeleton (left)
25326	Continuous	Mean L3 in sagittal stratum on FA skeleton (right)
25327	Continuous	Mean L3 in sagittal stratum on FA skeleton (left)
25328	Continuous	Mean L3 in external capsule on FA skeleton (right)
25329	Continuous	Mean L3 in external capsule on FA skeleton (left)
25330	Continuous	Mean L3 in cingulum cingulate gyrus on FA skeleton (right)
25331	Continuous	Mean L3 in cingulum cingulate gyrus on FA skeleton (left)
25332	Continuous	Mean L3 in cingulum hippocampus on FA skeleton (right)
25333	Continuous	Mean L3 in cingulum hippocampus on FA skeleton (left)
25334	Continuous	Mean L3 in fornix cres+stria terminalis on FA skeleton (right)
25335	Continuous	Mean L3 in fornix cres+stria terminalis on FA skeleton (left)
25336	Continuous	Mean L3 in superior longitudinal fasciculus on FA skeleton (right)
25337	Continuous	Mean L3 in superior longitudinal fasciculus on FA skeleton (left)
25338	Continuous	Mean L3 in superior fronto-occipital fasciculus on FA skeleton (right)
25339	Continuous	Mean L3 in superior fronto-occipital fasciculus on FA skeleton (left)
25340	Continuous	Mean L3 in uncinate fasciculus on FA skeleton (right)
25341	Continuous	Mean L3 in uncinate fasciculus on FA skeleton (left)
25342	Continuous	Mean L3 in tapetum on FA skeleton (right)
25343	Continuous	Mean L3 in tapetum on FA skeleton (left)
25344	Continuous	Mean ICVF in middle cerebellar peduncle on FA skeleton
25345	Continuous	Mean ICVF in pontine crossing tract on FA skeleton
25346	Continuous	Mean ICVF in genu of corpus callosum on FA skeleton
25347	Continuous	Mean ICVF in body of corpus callosum on FA skeleton
25348	Continuous	Mean ICVF in splenium of corpus callosum on FA skeleton
25349	Continuous	Mean ICVF in fornix on FA skeleton
25350	Continuous	Mean ICVF in corticospinal tract on FA skeleton (right)
25351	Continuous	Mean ICVF in corticospinal tract on FA skeleton (left)
25352	Continuous	Mean ICVF in medial lemniscus on FA skeleton (right)
25353	Continuous	Mean ICVF in medial lemniscus on FA skeleton (left)
25354	Continuous	Mean ICVF in inferior cerebellar peduncle on FA skeleton (right)
25355	Continuous	Mean ICVF in inferior cerebellar peduncle on FA skeleton (left)
25356	Continuous	Mean ICVF in superior cerebellar peduncle on FA skeleton (right)
25357	Continuous	Mean ICVF in superior cerebellar peduncle on FA skeleton (left)
25358	Continuous	Mean ICVF in cerebral peduncle on FA skeleton (right)
25359	Continuous	Mean ICVF in cerebral peduncle on FA skeleton (left)
25360	Continuous	Mean ICVF in anterior limb of internal capsule on FA skeleton (right)
25361	Continuous	Mean ICVF in anterior limb of internal capsule on FA skeleton (left)
25362	Continuous	Mean ICVF in posterior limb of internal capsule on FA skeleton (right)
25363	Continuous	Mean ICVF in posterior limb of internal capsule on FA skeleton (left)
25364	Continuous	Mean ICVF in retrolenticular part of internal capsule on FA skeleton (right)
25365	Continuous	Mean ICVF in retrolenticular part of internal capsule on FA skeleton (left)
25366	Continuous	Mean ICVF in anterior corona radiata on FA skeleton (right)
25367	Continuous	Mean ICVF in anterior corona radiata on FA skeleton (left)
25368	Continuous	Mean ICVF in superior corona radiata on FA skeleton (right)
25369	Continuous	Mean ICVF in superior corona radiata on FA skeleton (left)
25370	Continuous	Mean ICVF in posterior corona radiata on FA skeleton (right)
25371	Continuous	Mean ICVF in posterior corona radiata on FA skeleton (left)
25372	Continuous	Mean ICVF in posterior thalamic radiation on FA skeleton (right)
25373	Continuous	Mean ICVF in posterior thalamic radiation on FA skeleton (left)
25374	Continuous	Mean ICVF in sagittal stratum on FA skeleton (right)
25375	Continuous	Mean ICVF in sagittal stratum on FA skeleton (left)
25376	Continuous	Mean ICVF in external capsule on FA skeleton (right)
25377	Continuous	Mean ICVF in external capsule on FA skeleton (left)
25378	Continuous	Mean ICVF in cingulum cingulate gyrus on FA skeleton (right)
25379	Continuous	Mean ICVF in cingulum cingulate gyrus on FA skeleton (left)
